name,Brand,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,rpm,Nm,seats
Maruti Swift Dzire VXI,Maruti,2016,500000,40000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,4000,115,5
Volkswagen Polo Diesel Trendline 1.2L,Volkswagen,2012,240000,200000,Diesel,Individual,Manual,First Owner,22.07,1199,73.9,2000,180,5
Mahindra XUV500 W8 2WD,Mahindra,2011,575000,110000,Diesel,Individual,Manual,Second Owner,15.1,2179,140,2200,330,7
Mahindra Thar DI 4X4,Mahindra,2014,425000,63000,Diesel,Individual,Manual,Second Owner,18.06,2523,63,1650,182,7
Hyundai Xcent 1.1 CRDi S,Hyundai,2016,509999,120000,Diesel,Individual,Manual,First Owner,24.4,1120,71,2125,180,5
Maruti Swift VDI,Maruti,2012,350000,145000,Diesel,Individual,Manual,Third Owner,22.9,1248,74,2000,190,5
Maruti Swift Dzire VDI,Maruti,2015,610000,60000,Diesel,Individual,Manual,First Owner,26.59,1248,74,2000,190,5
Maruti Wagon R LX Minor,Maruti,2007,85000,100000,Petrol,Individual,Manual,Third Owner,18.9,1061,67,3500,84,5
Nissan Sunny XV,Nissan,2012,350000,50000,Petrol,Individual,Manual,First Owner,16.95,1498,97.7,4000,134,5
Skoda Superb LK 1.8 TSI AT,Skoda,2018,1864999,50000,Petrol,Dealer,Automatic,First Owner,14.67,1798,177.46,3125,250,5
Fiat Punto 1.2 Active,Fiat,2009,140000,110000,Petrol,Individual,Manual,Second Owner,15.7,1172,67,2500,96,5
Maruti Vitara Brezza ZDi Plus AMT,Maruti,2019,1025000,9850,Diesel,Individual,Automatic,First Owner,24.3,1248,88.5,1750,200,5
Maruti Swift Dzire VDI,Maruti,2018,725000,15000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,2000,190,5
Maruti Swift Dzire VXI,Maruti,2014,450000,30000,Petrol,Individual,Manual,First Owner,19.1,1197,85.8,4000,114,5
Maruti Swift Dzire VDI,Maruti,2019,754000,10000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,2000,190,5
Maruti Alto 800 LXI,Maruti,2015,280000,80000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,3500,69,5
Maruti Ciaz ZDi Plus SHVS,Maruti,2017,750000,53000,Diesel,Individual,Manual,First Owner,28.09,1248,88.5,1750,200,5
Hyundai Verna 1.4 VTVT,Hyundai,2014,500000,33400,Petrol,Individual,Manual,First Owner,17.43,1396,105.5,5000,135,5
Hyundai Xcent 1.1 CRDi S,Hyundai,2014,490000,100000,Diesel,Individual,Manual,First Owner,24.4,1120,71,2125,180,5
Nissan Sunny Diesel XL,Nissan,2014,335000,71000,Diesel,Dealer,Manual,First Owner,21.64,1461,84.8,2000,200,5
Maruti Baleno Delta 1.2,Maruti,2018,575000,20000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,4000,115,5
Maruti Ritz LDi,Maruti,2016,350000,120000,Diesel,Individual,Manual,Third Owner,23.2,1248,73.94,2000,190,5
Maruti Zen Estilo 1.1 LXI BSIII,Maruti,2007,150000,35000,Petrol,Individual,Manual,First Owner,18.2,1061,64,3500,84,5
Toyota Camry 2.5 Hybrid,Toyota,2016,2000000,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.16,2494,157.7,4500,213,5
Maruti Swift Dzire VDI,Maruti,2019,694000,35000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,2000,190,5
Chevrolet Sail LT ABS,Chevrolet,2015,480000,80000,Diesel,Individual,Manual,Second Owner,22.1,1248,74,1750,190,5
Honda WR-V i-DTEC S,Honda,2017,800000,70000,Diesel,Individual,Manual,First Owner,25.5,1498,98.6,1750,200,5
Hyundai Grand i10 1.2 CRDi Sportz,Hyundai,2017,450000,56290,Diesel,Dealer,Manual,First Owner,24,1186,73.97,2000,190,5
Maruti Ritz VDi,Maruti,2014,370000,30000,Diesel,Individual,Manual,First Owner,23.2,1248,73.94,2000,190,5
Hyundai Verna VTVT 1.6 SX Option,Hyundai,2018,1000000,10000,Petrol,Individual,Manual,First Owner,17,1591,121.3,4850,151,5
Hyundai Grand i10 Magna,Hyundai,2015,400000,39414,Petrol,Dealer,Manual,First Owner,18.9,1197,81.86,4000,113,5
Chevrolet Cruze LTZ,Chevrolet,2010,250000,135000,Diesel,Individual,Manual,Third Owner,18.3,1991,147.9,2600,327,5
Tata Tiago 1.2 Revotron XZ,Tata,2017,390000,20000,Petrol,Individual,Manual,First Owner,23.84,1199,84,3500,114,5
Hyundai Xcent 1.1 CRDi S,Hyundai,2015,360000,120000,Diesel,Individual,Manual,First Owner,24.4,1120,71,2125,180,5
Maruti A-Star Lxi,Maruti,2010,235000,50000,Petrol,Individual,Manual,First Owner,19,998,66.1,3500,90,5
Maruti Baleno Alpha,Maruti,2019,760000,3000,Petrol,Individual,Manual,First Owner,21.01,1197,81.8,4200,113,5
Maruti Vitara Brezza ZDi,Maruti,2017,813000,110000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,1750,200,5
Ford Figo 1.5D Ambiente MT,Ford,2016,350000,70000,Diesel,Individual,Manual,Second Owner,25.83,1498,99,2375,215,5
Ford Figo Diesel EXI,Ford,2014,400000,30000,Diesel,Individual,Manual,First Owner,20,1399,68.05,2000,160,5
Mahindra XUV500 W11 Option BSIV,Mahindra,2018,1500000,60000,Diesel,Individual,Manual,First Owner,15.1,2179,152.87,2275,360,7
Maruti Alto LXi,Maruti,2009,170000,90000,Petrol,Individual,Manual,Third Owner,19.7,796,46.3,3000,62,5
Datsun GO Anniversary Edition,Datsun,2017,385000,30000,Petrol,Individual,Manual,First Owner,20.63,1198,67.06,4000,104,5
Toyota Innova Crysta 2.8 ZX AT BSIV,Toyota,2016,1650000,127700,Diesel,Dealer,Automatic,Second Owner,11.36,2755,171.5,2300,360,7
Hyundai i20 1.2 Asta Dual Tone,Hyundai,2018,740000,8000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,4000,114,5
Maruti Wagon R VXI BS IV,Maruti,2017,440000,30000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,3500,90,5
Chevrolet Sail 1.3 LS,Chevrolet,2016,250000,60000,Diesel,Individual,Manual,Second Owner,22.1,1248,74,1750,190,5
